]"Percent Profile Info Completed";"Percent Profile Info Completed"
"Editing Profile Type:";"Editing Profile Type:"
"Edit weight of profile fields";"Edit weight of profile fields"
"Define the weight for each profile field to calculate percent profile information completed. 0 means they is not included in calculating."; "Define the weight for each profile field to calculate percent profile information completed. 0 means they is not included in calculating."
"Enter Gauge Color in Hex";"Enter Gauge Color in Hex"
"Profile Address";"Profile Address"
"Profile Photo Weight";"Profile Photo Weight"
"Enter 0 to skip photo checking, by default it's included with value 2";"Enter 0 to skip photo checking, by default it's included with value 2"
"Whether show widget or not when 100% completed";"Whether show widget or not when 100% completed"
"Not show the widget when 100% completed";"Not show the widget when 100% completed"
"Next: ";"Next: "
" profile completeness";" profile completeness"
"Your changes have been saved.";"Your changes have been saved."
"Update Profile";"Update Profile"
"photo_pc";"photo"
"Unable to find identifiers in text:";"Unable to find identifiers in text:"
"cannot toggle, no event or element";"cannot toggle, no event or element"
"Profile Completeness";"Profile Completeness"
"profile completeness";"profile completeness"
"Percent Profile Info Completed";"Percent Profile Info Completed"
"Define the weight for each profile field to calculate the percentage of profile information completed. 0 means they are not included in calculating.";"Define the weight for each profile field to calculate the percentage of profile information completed. 0 means they are not included in calculating."
"Edit the weight of profile fields";"Edit the weight of profile fields"

"Do not show widget";"Do not show widget"
"Do not show the widget when profile is 100% complete";"Do not show the widget when profile is 100% complete"
