"Odd header column background color";"Odd header column background color"
"Even header column background color";"Even header column background color"
"Odd row background color";"Odd row background color"
"Even row background color";"Even row background color"
"Feature text style format";"Feature text style format"
"Column header font size, style and family";"Column header font size, style and family"
"Cell text style format";"Cell text style format"
"Checked image";"Checked image"
"X image";"X image"
"Most popular icon";"Most popular icon"
"Price style format";"Price style format"
"Toggle Comparison Value (Yes, No or Text Field)";"Toggle Comparison Value (Yes, No or Text Field)"
"Toggle Yes or No";"Toggle Yes or No"
"Compare Membership Packages";"Compare Membership Packages"
"ADMIN_SIGNUP_STEP_SLADVSUBSCRIPTION_PLUGIN_SIGNUP_SUBSCRIPTION";"Choose Advanced Membership"
"%1$s: Choose Adv Membership";"%1$s: Choose Adv Membership"
"Choose Plan";"Choose Plan"
"most popular";"most popular"
"yes";"yes"
"no";"no"
"Upgrade Now!";"Upgrade Now!"
"Upgrade Now";"Upgrade Now"
"Upgrade button background color";"Upgrade button background color"
"Or Upload an icon (46 x 46 px)";"Or Upload an icon (46 x 46 px)"
"Or Upload an icon (24 x 24 px)";"Or Upload an icon (24 x 24 px)"
"Add new feature";"Add new feature"
"Select most popular";"Select most popular"
"There are no plans yet.";"There are no plans yet."
"Select a member level to display the ""Most Popular"" icon";"Select a member level to display the ""Most Popular"" icon"
"Signup Now";"Signup Now"
