"close";"close"
"Add New Video";"Add New Video"
"YouNet Video Plugin";"YouNet Video Plugin"
"Message:";"Message:"
"URL Video";"URL Video"
"ynvideo";"video";"videos"
"There is no videos found.";"There is no videos found."
"Duplicates are not allowed for this playlist";"Duplicates are not allowed for this playlist"
"Back to playlist";"Back to playlist"
"Added to";"Added to"
"Watch Later";"Watch Later"
"Favorite";"Favorite"
"Add to new playlist";"Add to new playlist"
"to add this video to a playlist";"to add this video to a playlist"
"There is an error occured. Please try again !";"There is an error occured. Please try again !"
"(%1$s view)";"(%1$s view)";"(%1$s views)"
"%1$s view";"%1$s view";"%1$s views"
"%1$s video";"%1$s video";"%1$s videos"
"%1$s rating";"%1$s rating";"%1$s ratings"
"%1$s playlist";"%1$s playlist";"%1$s playlists"
"%1$s favorite";"%1$s favorite";"%1$s favorites"
"%1$s like";"%1$s like";"%1$s likes"
"%1$s like";"%1$s like";"%1$s likes"
"%1$s comment";"%1$s comment";"%1$s comments"
"Member Level Settings";"Member Level Settings"
"Displays a list of current user's favorite videos.";"Displays a list of current user's favorite videos."
"Displays a list current user's videos.";"Displays a list current user's videos."
"List My Video Playlists";"List My Video Playlists"
"Displays a list current user's video playlists.";"Displays a list current user's video playlists."
"List My Watch Later Videos";"List My Watch Later Videos"
"Displays a list current user's watch later videos.";"Displays a list current user's watch later videos."
"List All Videos";"List All Videos"
"Displays a list of all videos.";"Displays a list of all videos."
"List User Favorite Videos";"List User Favorite Videos"
"List My Videos";"List My Videos"
"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below.";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Allow Viewing of Videos?";"Allow Viewing of Videos?"
"Do you want to let members view videos? If set to no, some other settings on this page may not apply.";"Do you want to let members view videos? If set to no, some other settings on this page may not apply."
"Yes, allow viewing of all videos, even private ones.";"Yes, allow viewing of all videos, even private ones."
"Yes, allow viewing of videos.";"Yes, allow viewing of videos."
"No, do not allow videos to be viewed.";"No, do not allow videos to be viewed."
"Allow Creation of Videos?";"Allow Creation of Videos?"
